Collection ID,Game ID,Name,Expansion,Version ID,Version,Status,Min Players,Max Players,Recommended Players,Best Players,Min Duration,Max Duration,Weight,Plays,Last Play,Rating,BGG Rating,Rank,Estimated Value,altnames,Publisher,Artist,Domain,Family,SuggestedAge,BggImage,Mechanisms,Categories,Designer,YearPublished
-,247763,Underwater Cities,-,-,-,-,1,4,"1, 2, 3",2,80,150,3.5863,0,-,-,7.77416,50,53.05,水下城市,Delicious Games,Milan Vavroň,Strategy Games,Digital Implementations: TableTop Simulator Mod (TTS) Digital Implementations: Yucata Mechanism: Tableau Building Players: Games with Solitaire Rules Theme: Under the Sea,12.31,247763.png,End Game Bonuses Hand Management Income Network and Route Building Solo / Solitaire Game Turn Order: Claim Action Turn Order: Stat-Based Worker Placement,Card Game City Building Industry / Manufacturing Nautical Science Fiction,Vladimír Suchý,2018
-,274637,"Unmatched: Battle of Legends, Volume One",-,-,-,-,2,4,"2, 4",2,20,40,1.9412,0,-,-,7.20968,295,37.51,,Mondo Games,Oliver Barrett,Strategy Games,Books: Alice in Wonderland Category: Two-Player Fighting Games Components: Miniatures Components: Multi-Use Cards Digital Implementations: Google Play Game: Unmatched Misc: Made by Panda Misc: Watch It Played How To Videos Mythology: Arabian Mythology: Greek Theme: King Arthur / The Knights of the Round Table / Camelot,9.5,274637.jpg,Action Points Card Play Conflict Resolution Hand Management Line of Sight Player Elimination Point to Point Movement Team-Based Game Variable Player Powers,Card Game Fantasy Fighting Mythology Novel-based,Rob Daviau,2019
-,335764,"Unmatched: Battle of Legends, Volume Two",-,-,-,-,2,4,"2, 4","2, 4",20,40,2.0784,0,-,-,7.01736,482,21.42,,Restoration Games,Zoë van Dijk,Strategy Games,Animals: Apes / Monkeys Category: Two-Player Fighting Games Components: Miniatures Components: Multi-Use Cards Constructions: The Hanging Gardens of Babylon Game: Unmatched Misc: Made by Panda Mythology: Greek,10.22,335764.jpg,Action Points Card Play Conflict Resolution Hand Management Line of Sight Point to Point Movement Team-Based Game Variable Player Powers,Card Game Fantasy Fighting Horror Mythology Novel-based,Noah Cohen,2021
-,294484,Unmatched: Cobble & Fog,-,-,-,-,2,4,"2, 4",2,20,40,1.966,0,-,-,7.373,190,24.11,,Mondo Games,Ian O'Toole,Strategy Games,Books: Dr. Jekyll and Mr. Hyde Books: Dracula Books: Sherlock Holmes Books: The Invisible Man Category: Two-Player Fighting Games Components: Miniatures Components: Multi-Use Cards Game: Unmatched Misc: Made by Panda Misc: Watch It Played How To Videos,9.7,294484.jpg,Action Points Card Play Conflict Resolution Hand Management Line of Sight Movement Points Player Elimination Point to Point Movement Resource to Move Team-Based Game Variable Player Powers,Card Game Fantasy Fighting Horror Novel-based,Rob Daviau,2020
-,274638,Unmatched: Robin Hood vs. Bigfoot,-,-,-,-,2,2,2,2,20,20,1.9385,0,-,-,7.06786,423,27.51,,Mondo Games,Oliver Barrett,Strategy Games,Category: Two-Player Fighting Games Components: Miniatures Components: Multi-Use Cards Creatures: Bigfoot / Yeti / Sasquatch Folk Tales & Fairy Tales: Robin Hood Game: Unmatched Misc: Made by Panda Players: Two-Player Only Games,9.87,274638.jpg,Action Points Card Play Conflict Resolution Hand Management Line of Sight Point to Point Movement Variable Player Powers,Card Game Fantasy Fighting Mythology Novel-based,Rob Daviau,2019
99038730,290484,Unsettled,-,-,-,"Own,Wanttoplay",2,4,"2, 3, 4",2,60,90,3.2846,0,-,7.4,7.02621,470,167.46,,Orange Nebula LLC,Bartek Fedyczak,Thematic Games,Components: Game Trayz Inside Crowdfunding: Kickstarter Game: Unsettled Theme: Survival,12.63,290484.jpg,Action Retrieval Cooperative Game Modular Board Scenario / Mission / Campaign Game Tech Trees / Tech Tracks Variable Set-up,Science Fiction Space Exploration,Tom Mattson,2021
100136548,242149,Vadoran Gardens,-,-,-,"Own,Wanttoplay",1,4,"2,3,4",2,20,40,2.23,0,-,7.2,6.7,5856,10.41,,,,,,,,,,,
-,420033,Vantage,-,-,-,-,1,6,"1, 2, 3","1, 2",120,180,2.3373,0,-,-,7.34304,213,72.07,,Stonemaier Games,Valentina Filic,Thematic Games,Creatures: Aliens / Extraterrestrials Occupation: Adventurer / Explorer Players: Games with Solitaire Rules Theme: Pets / Companion Animals,9.47,420033.jpg,Cooperative Game Dice Rolling Die Icon Resolution Narrative Choice / Paragraph Scenario / Mission / Campaign Game Solo / Solitaire Game,Adventure Exploration Fantasy Science Fiction,Jamey Stegmaier,2025
138524313,428638,Vegas Strip,-,-,-,Own,2,6,"3,4,5,6","4,6",40,40,2.2,0,-,-,6.7,7363,25.66,,,,,,,,,,,
-,104006,Village,-,-,-,-,2,4,"2, 3, 4",4,60,90,3.0613,0,-,-,7.28312,246,35.44,村莊,eggertspiele,Dennis Lohausen,Strategy Games,Digital Implementations: Tabletopia Game: Village,11.53,104006.jpg,"Area Majority / Influence Contracts Set Collection Turn Order: Claim Action Worker Placement Worker Placement, Different Worker Types",Economic Farming Medieval,Inka Brand,2011
